1	161;	54;322;236;73;346;126;119;280;92;88;299;48;133;194;53;315;
2	338;	343;326;116;115;149;312;226;333;20;
3	9;	323;274;9;283;67;188;122;142;72;26;25;200;280;228;85;170;
4	65;	181;78;273;328;218;275;195;152;306;
5	221;	156;169;235;158;213;316;87;315;187;204;180;122;
6	206;	95;319;219;147;89;
7	134;	315;129;308;304;246;87;339;340;291;347;168;103;31;322;65;38;22;213;136;
8	273;	110;193;201;259;264;91;245;
9	89;	188;231;3;271;69;341;25;232;295;122;291;285;21;200;185;133;297;161;272;30;75;141;186;315;169;329;148;56;224;277;142;134;72;26;79;113;342;170;66;156;119;280;199;85;334;128;105;67;304;258;176;276;323;322;203;252;
10	142;	332;323;67;200;277;285;291;169;142;
13	21;	325;65;332;199;211;119;59;109;304;26;265;56;21;271;342;239;82;252;67;313;223;148;236;98;238;172;118;261;188;277;
14	309;	115;310;343;41;326;214;149;312;144;28;116;151;226;20;
16	131;	332;172;331;29;329;118;82;261;
17	37;	115;214;144;137;312;19;111;41;116;310;140;326;
19	126;	89;41;227;319;343;112;289;138;115;17;214;174;293;312;175;
20	286;	343;14;214;111;326;149;162;312;41;226;115;2;44;333;
21	96;	127;313;67;284;25;186;39;304;345;161;108;232;66;200;315;252;109;297;325;248;123;31;323;322;122;251;98;104;13;159;40;197;26;334;280;188;165;272;281;271;236;121;235;308;136;88;119;277;105;203;239;142;332;184;9;342;223;170;169;56;55;134;212;274;
22	152;	158;347;308;185;324;168;87;277;339;7;
23	345;	267;144;124;155;237;230;240;51;99;83;190;245;175;61;227;116;
24	252;	249;57;80;92;242;94;299;101;194;180;266;187;53;302;346;
25	214;	332;246;65;170;83;322;79;26;237;130;73;113;203;257;98;325;288;236;221;103;67;185;69;21;270;239;331;122;56;224;105;271;31;39;285;9;336;40;84;188;283;3;51;272;88;200;277;291;280;199;297;141;72;252;148;104;119;76;231;176;158;232;169;276;290;186;323;94;
26	191;	212;248;56;66;142;323;25;186;104;322;325;224;113;67;169;72;109;134;295;223;285;172;119;280;257;313;13;185;133;239;170;297;62;158;332;123;200;141;291;79;188;236;98;118;128;161;276;298;315;69;40;304;55;176;271;334;122;232;308;203;265;199;9;21;3;252;277;
27	169;	329;324;119;54;
28	123;	149;14;116;41;115;140;226;326;151;144;310;312;
29	323;	211;247;82;106;203;172;40;16;231;252;118;338;
30	242;	178;304;224;188;213;271;331;329;236;73;200;322;9;48;56;303;
31	238;	84;304;122;25;21;67;7;280;142;252;109;83;338;129;200;308;339;168;291;51;237;277;
32	223;	93;337;137;310;167;
33	172;	42;
34	91;	173;
35	205;	143;
36	333;	127;281;284;108;184;135;197;320;309;251;
38	81;	332;7;339;322;178;117;248;141;
39	214;	257;119;280;313;277;69;25;200;161;165;105;21;121;141;
40	50;	258;298;25;56;67;172;132;325;26;322;113;257;203;307;21;212;77;272;265;239;317;277;142;158;224;274;141;29;304;169;72;329;315;271;334;231;280;232;133;213;200;332;199;
41	302;	20;326;19;93;312;111;343;310;337;44;28;140;226;214;137;151;14;144;116;17;115;230;243;
42	72;	33;
44	183;	41;20;111;312;343;
45	227;	345;132;303;322;186;142;200;122;104;221;67;
46	160;	143;278;175;177;
47	325;	301;
48	247;	126;130;30;53;1;302;322;199;299;271;332;119;180;330;80;203;88;73;54;320;57;
